Time,Open,High,Low,Close,Volume
14.05.2014 19:00:00.000,1.37058,1.37322,1.36484,1.37157,204375.9899
15.05.2014 19:00:00.000,1.37159,1.37268,1.36853,1.36971,139317.6207
16.05.2014 19:00:00.000,1.36972,1.37004,1.36921,1.36926,9109.9501
17.05.2014 19:00:00.000,1.36926,1.36926,1.36926,1.36926,0.0000
18.05.2014 19:00:00.000,1.36926,1.37341,1.36926,1.37127,144189.8500
19.05.2014 19:00:00.000,1.37127,1.37143,1.36780,1.36974,158363.2304
20.05.2014 19:00:00.000,1.36974,1.37231,1.36345,1.36786,162053.3603
21.05.2014 19:00:00.000,1.36784,1.36880,1.36452,1.36504,162088.3902
22.05.2014 19:00:00.000,1.36505,1.36584,1.36156,1.36321,158673.1400
23.05.2014 19:00:00.000,1.36320,1.36342,1.36259,1.36275,7983.3799
24.05.2014 19:00:00.000,1.36275,1.36275,1.36275,1.36275,0.0000
25.05.2014 19:00:00.000,1.36275,1.36544,1.36145,1.36463,85221.7799
26.05.2014 19:00:00.000,1.36463,1.36685,1.36125,1.36347,146069.5998
27.05.2014 19:00:00.000,1.36349,1.36384,1.35892,1.35935,155352.1602
28.05.2014 19:00:00.000,1.35935,1.36255,1.35862,1.36022,154085.6708
29.05.2014 19:00:00.000,1.36022,1.36500,1.35984,1.36330,160433.4706
30.05.2014 19:00:00.000,1.36331,1.36380,1.36277,1.36331,13210.1201
31.05.2014 19:00:00.000,1.36331,1.36331,1.36331,1.36331,0.0000
01.06.2014 19:00:00.000,1.36331,1.36373,1.35881,1.35960,162671.2801
02.06.2014 19:00:00.000,1.35959,1.36478,1.35875,1.36227,159973.9113
03.06.2014 19:00:00.000,1.36224,1.36387,1.35965,1.35992,169888.7792
04.06.2014 19:00:00.000,1.35990,1.36698,1.35030,1.36580,262188.0199
05.06.2014 19:00:00.000,1.36580,1.36765,1.36210,1.36455,185101.1406
06.06.2014 19:00:00.000,1.36454,1.36463,1.36396,1.36418,8659.1900
07.06.2014 19:00:00.000,1.36418,1.36418,1.36418,1.36418,0.0000
08.06.2014 19:00:00.000,1.36418,1.36687,1.35826,1.35881,133630.5393
09.06.2014 19:00:00.000,1.35881,1.36018,1.35335,1.35439,220006.7416
10.06.2014 19:00:00.000,1.35437,1.35571,1.35215,1.35283,205651.8598
10.06.2014 19:00:00.000,1.35437,1.35571,1.35215,1.35283,205651.8598
11.06.2014 19:00:00.000,1.35283,1.35719,1.35123,1.35643,195217.7984
12.06.2014 19:00:00.000,1.35641,1.35790,1.35210,1.35335,208926.9608
13.06.2014 19:00:00.000,1.35336,1.35420,1.35329,1.35354,9447.3997
14.06.2014 19:00:00.000,1.35354,1.35354,1.35354,1.35354,0.0000
15.06.2014 19:00:00.000,1.35354,1.35794,1.35130,1.35670,176855.5112
16.06.2014 19:00:00.000,1.35665,1.35870,1.35364,1.35421,199147.9095
17.06.2014 19:00:00.000,1.35420,1.35993,1.35417,1.35588,181460.3501
18.06.2014 19:00:00.000,1.35588,1.36434,1.35527,1.36082,219562.2797
19.06.2014 19:00:00.000,1.36080,1.36339,1.35643,1.35929,212322.7904
20.06.2014 19:00:00.000,1.35930,1.36005,1.35924,1.35992,19214.7900
21.06.2014 19:00:00.000,1.35992,1.35992,1.35992,1.35992,0.0000
22.06.2014 19:00:00.000,1.35992,1.36135,1.35741,1.36040,269865.2195
23.06.2014 19:00:00.000,1.36039,1.36277,1.35834,1.36017,263036.8706
24.06.2014 19:00:00.000,1.36021,1.36511,1.35997,1.36288,247356.3014
25.06.2014 19:00:00.000,1.36288,1.36413,1.35762,1.36075,306946.2000
26.06.2014 19:00:00.000,1.36075,1.36477,1.36069,1.36448,263337.2182
27.06.2014 19:00:00.000,1.36448,1.36505,1.36446,1.36482,27504.7294
28.06.2014 19:00:00.000,1.36482,1.36482,1.36482,1.36482,0.0000
29.06.2014 19:00:00.000,1.36482,1.36977,1.36402,1.36948,210057.0512
30.06.2014 19:00:00.000,1.36948,1.37004,1.36755,1.36795,291856.3489
01.07.2014 19:00:00.000,1.36795,1.36824,1.36400,1.36553,277517.5190
02.07.2014 19:00:00.000,1.36554,1.36642,1.35960,1.36090,380851.6200
03.07.2014 19:00:00.000,1.36091,1.36120,1.35855,1.35923,220479.2501
04.07.2014 19:00:00.000,1.35924,1.35949,1.35905,1.35944,1086.8200
05.07.2014 19:00:00.000,1.35944,1.35944,1.35944,1.35944,0.0000
06.07.2014 19:00:00.000,1.35944,1.36091,1.35759,1.36077,277590.0517
07.07.2014 19:00:00.000,1.36076,1.36173,1.35882,1.36106,358937.2409
08.07.2014 19:00:00.000,1.36106,1.36483,1.36022,1.36459,316512.3184
09.07.2014 19:00:00.000,1.36458,1.36507,1.35891,1.36033,393973.8717
10.07.2014 19:00:00.000,1.36034,1.36247,1.35919,1.36082,129735.8991
11.07.2014 19:00:00.000,1.36080,1.36115,1.36050,1.36054,5798.6401
12.07.2014 19:00:00.000,1.36054,1.36054,1.36054,1.36054,0.0000
13.07.2014 19:00:00.000,1.36054,1.36402,1.35974,1.36181,108086.5701
14.07.2014 19:00:00.000,1.36181,1.36281,1.35620,1.35680,154075.8306
15.07.2014 19:00:00.000,1.35680,1.35723,1.35215,1.35228,117207.8896
16.07.2014 19:00:00.000,1.35226,1.35401,1.35165,1.35267,132980.4804
17.07.2014 19:00:00.000,1.35267,1.35360,1.34910,1.35263,139479.1297
18.07.2014 19:00:00.000,1.35261,1.35270,1.35229,1.35231,5523.3200
19.07.2014 19:00:00.000,1.35231,1.35231,1.35231,1.35231,0.0000
